0,1,0,14,0.81,0.66,0.41,0.45,0.32,0.33,0.2,0.27,0.18
0,2,0,10,0.91,0.47,0.91,0.54,0.53,0.55,0.22,0.33,0.22
0,3,0,4,0.93,0.42,0.83,0.59,0.61,0.7,0.24,0.37,0.26
0,4,0,2,0.96,0.35,0.33,0.68,0.67,0.87,0.3,0.53,0.48
0,5,0,9,0.98,0.31,0.32,0.77,0.61,0.37,0.38,0.76,0.93
0,6,0,4,0.75,0.57,0.57,0.94,0.61,0.56,1.21,0.84,0.57
0,7,0,2,0.99,0.33,0.31,0.87,0.49,0.31,0.57,0.91,0.37
0,8,0,0,1,0.19,0.18,1,0.19,0.19,0.99,0.24,0.23
0,9,0,3,1.01,0.25,0.25,1.06,0.18,0.27,0.91,0.25,0.3
0,10,0,3,1.05,0.27,0.27,0.99,0.2,0.33,0.33,0.35,0.36
0,11,0,7,0.99,0.28,0.24,0.37,0.12,0.31,0.32,0.33,0.29
1,0,0,5,1.02,0.89,0.17,0.36,0.31,0.27,0.27,0.32,0.28
1,2,0,6,0.17,0.89,1.02,0.27,0.31,0.36,0.28,0.32,0.27
1,3,0,16,0.17,0.9,0.8,0.27,0.42,0.46,0.28,0.29,0.2
1,4,0,11,0.19,0.95,0.45,0.28,0.65,0.81,0.33,0.32,0.21
1,5,0,1,0.26,0.99,0.37,0.26,0.8,0.64,0.34,0.43,0.84
1,6,0,2,0.28,1,0.3,0.32,0.9,0.51,0.38,0.61,0.8
1,7,0,0,0.19,0.99,0.19,0.26,0.95,0.25,0.2,0.88,0.2
1,8,0,1,0.3,1,0.28,0.51,0.9,0.32,0.8,0.61,0.38
1,9,0,1,0.37,0.99,0.26,0.64,0.8,0.26,0.84,0.43,0.34
1,10,0,11,0.45,0.95,0.19,0.81,0.65,0.28,0.21,0.32,0.33
1,11,0,16,0.8,0.9,0.17,0.46,0.42,0.27,0.2,0.29,0.28
2,0,0,9,0.91,0.47,0.91,0.55,0.53,0.54,0.22,0.33,0.22
2,1,0,13,0.41,0.66,0.81,0.33,0.32,0.45,0.18,0.27,0.2
2,3,0,7,0.24,0.28,0.99,0.31,0.12,0.37,0.29,0.33,0.32
2,4,0,3,0.27,0.27,1.05,0.33,0.2,0.99,0.36,0.35,0.33
2,5,0,3,0.25,0.25,1.01,0.27,0.18,1.06,0.3,0.25,0.91
2,6,0,0,0.18,0.19,1,0.19,0.19,1,0.23,0.24,0.99
2,7,0,1,0.31,0.33,0.99,0.31,0.49,0.87,0.37,0.91,0.57
2,8,0,3,0.57,0.57,0.75,0.56,0.61,0.94,0.57,0.84,1.21
2,9,0,9,0.32,0.31,0.98,0.37,0.61,0.77,0.93,0.76,0.38
2,10,0,2,0.33,0.35,0.96,0.87,0.67,0.68,0.48,0.53,0.3
2,11,0,4,0.83,0.42,0.93,0.7,0.61,0.59,0.26,0.37,0.24
3,0,0,3,0.91,1.06,1.01,0.25,0.18,0.25,0.3,0.27,0.25
3,1,0,3,0.33,0.99,1.05,0.35,0.2,0.27,0.36,0.33,0.27
3,2,0,7,0.32,0.37,0.99,0.33,0.12,0.28,0.29,0.31,0.24
3,4,0,13,0.2,0.45,0.81,0.27,0.32,0.66,0.18,0.33,0.41
3,5,0,9,0.22,0.54,0.91,0.33,0.53,0.47,0.22,0.55,0.91
3,6,0,4,0.24,0.59,0.93,0.37,0.61,0.42,0.26,0.7,0.83
3,7,0,2,0.3,0.68,0.96,0.53,0.67,0.35,0.48,0.87,0.33
3,8,0,9,0.38,0.77,0.98,0.76,0.61,0.31,0.93,0.37,0.32
3,9,0,3,1.21,0.94,0.75,0.84,0.61,0.57,0.57,0.56,0.57
3,10,0,1,0.57,0.87,0.99,0.91,0.49,0.33,0.37,0.31,0.31
3,11,0,0,0.99,1,1,0.24,0.19,0.19,0.23,0.19,0.18
4,0,0,1,0.84,0.64,0.37,0.43,0.8,0.99,0.34,0.26,0.26
4,1,0,11,0.21,0.81,0.45,0.32,0.65,0.95,0.33,0.28,0.19
4,2,0,16,0.2,0.46,0.8,0.29,0.42,0.9,0.28,0.27,0.17
4,3,0,6,0.27,0.36,1.02,0.32,0.31,0.89,0.28,0.27,0.17
4,5,0,5,0.28,0.27,0.17,0.32,0.31,0.89,0.27,0.36,1.02
4,6,0,16,0.28,0.27,0.17,0.29,0.42,0.9,0.2,0.46,0.8
4,7,0,11,0.33,0.28,0.19,0.32,0.65,0.95,0.21,0.81,0.45
4,8,0,1,0.34,0.26,0.26,0.43,0.8,0.99,0.84,0.64,0.37
4,9,0,1,0.38,0.32,0.28,0.61,0.9,1,0.8,0.51,0.3
4,10,0,0,0.2,0.25,0.19,0.88,0.95,0.99,0.2,0.26,0.19
4,11,0,2,0.8,0.51,0.3,0.61,0.9,1,0.38,0.32,0.28
5,0,0,9,0.93,0.37,0.32,0.76,0.61,0.31,0.38,0.77,0.98
5,1,0,2,0.48,0.87,0.33,0.53,0.67,0.35,0.3,0.68,0.96
5,2,0,4,0.26,0.7,0.83,0.37,0.61,0.42,0.24,0.59,0.93
5,3,0,10,0.22,0.55,0.91,0.33,0.53,0.47,0.22,0.54,0.91
5,4,0,14,0.18,0.33,0.41,0.27,0.32,0.66,0.2,0.45,0.81
5,6,0,7,0.29,0.31,0.24,0.33,0.12,0.28,0.32,0.37,0.99
5,7,0,3,0.36,0.33,0.27,0.35,0.2,0.27,0.33,0.99,1.05
5,8,0,3,0.3,0.27,0.25,0.25,0.18,0.25,0.91,1.06,1.01
5,9,0,0,0.23,0.19,0.18,0.24,0.19,0.19,0.99,1,1
5,10,0,2,0.37,0.31,0.31,0.91,0.49,0.33,0.57,0.87,0.99
